电影名,导演,评分,介绍,图片地址
菊次郎的夏天,[': 北野武 Takeshi Kitano'],8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg
入殓师,[': 泷田洋二郎 Yôjirô Takita'],8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2635433927.jpg
消失的爱人,[': 大卫·芬奇 David Fincher'],8.7,年度最佳date movie。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
无人知晓,[': 是枝裕和 Hirokazu Koreeda'],9.1,我的平常生活就是他人的幸福。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
哈利·波特与阿兹卡班的囚徒,[': Alfonso Cuarón'],8.8,不一样的导演，不一样的哈利·波特。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg
倩女幽魂,[': 程小东 Siu-Tung Ching'],8.7,两张绝世的脸。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg
超能陆战队,[': 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams'],8.7,Balalala~~~,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg
侧耳倾听,[': 近藤喜文 Yoshifumi Kondo'],8.9,少女情怀总是诗。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg
完美的世界,[': 克林特·伊斯特伍德 Clint Eastwood'],9.1,坏人的好总是比好人的好来得更感人。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
借东西的小人阿莉埃蒂,[': 米林宏昌 Hiromasa Yonebayashi'],8.8,曾经的那段美好会沉淀为一辈子的记忆。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
甜蜜蜜,[': 陈可辛 Peter Chan'],8.9,相逢只要一瞬间，等待却像是一辈子。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
爱在日落黄昏时,[': 理查德·林克莱特 Richard Linklater'],8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg
萤火之森,[': 大森贵弘 Takahiro Omori'],8.9,触不到的恋人。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg
驯龙高手,[': 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders'],8.7,和谐的生活离不开摸头与被摸头。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
玛丽和马克思,[': 亚当·艾略特 Adam Elliot'],8.9,你是我最好的朋友，你是我唯一的朋友 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg
幸福终点站,[': 史蒂文·斯皮尔伯格 Steven Spielberg'],8.8,有时候幸福需要等一等。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg
告白,[': 中岛哲也 Tetsuya Nakashima'],8.7,没有一人完全善，也没有一人完全恶。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
天书奇谭,[': 王树忱 Shuchen Wang / 钱运达 Yunda Qian'],9.2,传奇的年代，醉人的童话。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
大鱼,[': 蒂姆·波顿 Tim Burton'],8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
射雕英雄传之东成西就,[': 刘镇伟 Jeffrey Lau'],8.7,百看不厌。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg
阳光姐妹淘,[': 姜炯哲 Hyeong-Cheol Kang'],8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
哈利·波特与密室,[': Chris Columbus'],8.7,魔法的密室之门已打开...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
怪兽电力公司,[': 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman'],8.7,不要给它起名字，起了名字就有感情了。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
恐怖直播,[': 金秉祐 Byeong-woo Kim'],8.7,恐怖分子的“秋菊打官司”。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
神偷奶爸,[': 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud'],8.6,Mr. I Don't Care其实也有Care的时候。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
时空恋旅人,[': 理查德·柯蒂斯 Richard Curtis'],8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
玩具总动员3,[': 李·昂克里奇 Lee Unkrich'],8.9,跨度十五年的欢乐与泪水。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
傲慢与偏见,[': 乔·怀特 Joe Wright'],8.7,爱是摈弃傲慢与偏见之后的曙光。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
教父3,[': 弗朗西斯·福特·科波拉 Francis Ford Coppola'],8.9,任何信念的力量，都无法改变命运。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
釜山行,[': 延尚昊 Sang-ho Yeon'],8.6,揭露人性的丧尸题材力作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
血战钢锯岭,[': 梅尔·吉布森 Mel Gibson'],8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
哪吒闹海,[': 严定宪 Dingxian Yan / 王树忱 Shuchen Wang'],9.1,想你时你在闹海。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg
一个叫欧维的男人决定去死,[': 汉内斯·赫尔姆 Hannes Holm'],8.9,惠及一生的美丽。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
被解救的姜戈,[': 昆汀·塔伦蒂诺 Quentin Tarantino'],8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg
七武士,[': 黑泽明 Akira Kurosawa'],9.3,时代悲歌。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg
未麻的部屋,[': 今敏 Satoshi Kon'],9.0,好的剧本是，就算你猜到了结局也猜不到全部。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
喜宴,[': 李安 Ang Lee'],8.9,中国家庭的喜怒哀乐忍。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg
